基金名,代码,管理费率,益价率,规模,首期日,首期价格,当前日,当前价格,年化
纳指ETF华泰柏瑞,513110,1%,3.6,5B,2023-08-25,1.25,2026-06-05,2.463,27.62%
纳指ETF易方达,159696,0.60%,5.19,4.89B,2023-08-25,0.987,2026-06-05,2.026,29.51%
纳指ETF嘉实,159501,0.60%,7.39,12.21B,2023-08-25,1.02,2026-06-05,2.087,29.36%
纳斯达克100,,,,,1985-10-31,115.48,1995-01-31,405.33,14.53%
纳斯达克100,,,,,1995-01-31,405.33,2005-01-31,1519.63,14.12%
纳斯达克100,,,,,2005-01-31,1519.63,2015-01-31,4148.43,10.56%
纳斯达克100,,,,,2015-01-31,4148.43,2026-06-05,28957.6,18.67%
纳斯达克100,,,,,2023-08-25,14941.83,2026-06-05,28957.6,26.86%
伯克希尔B,,,,,2005-01-31,59.882,2015-01-31,143.91,9.16%
伯克希尔B,,,,,2015-01-31,143.91,2026-06-05,488.13,11.36%
伯克希尔B,,,,,2023-08-25,355.93,2026-06-05,488.13,12.03%
伯克希尔B,,,,,2005-02-23,60.682,2019-10-08,206.89,8.75%
伯克希尔B,,,,,2019-10-08,206.89,2026-04-09,485.2,14.00%
纳斯达克100,,,,,2005-02-23,1497.09,2019-10-08,7604.27,11.75%
纳斯达克100,,,,,2019-10-08,7604.27,2026-04-09,25082.09,20.13%
上证50ETF,510050,,,,2023-08-25,3.772,2026-06-05,4.424,5.90%
上证50ETF,510050,,,,2005-02-23,1.037,2015-01-30,3.147,11.82%
上证50ETF,510050,,,,2015-02-02,3.066,2026-06-05,4.424,3.28%
上证50ETF,510050,,,,2005-02-23,1.037,2019-10-08,4.043,9.75%
上证50ETF,510050,,,,2019-10-08,4.043,2026-04-09,4.445,1.47%
沪深300ETF,510300,,,,2023-08-25,1.626,2026-06-05,2.123,10.07%
沪深300ETF,510300,,,,2012-05-28,0.966,2015-01-30,1.312,12.12%
沪深300ETF,510300,,,,2015-02-02,1.284,2026-06-05,2.123,4.53%
沪深300ETF,510300,,,,2012-05-28,0.966,2019-10-08,1.566,6.78%
沪深300ETF,510300,,,,2019-10-08,1.566,2026-04-09,2.022,4.01%
红利ETF,510880,,,,2023-08-25,2.736,2026-06-05,3.209,5.90%
红利ETF,510880,,,,2007-01-18,1.309,2015-01-30,1.822,4.20%
红利ETF,510880,,,,2015-02-02,1.775,2026-06-05,3.209,5.36%
红利ETF,510880,,,,2007-01-18,1.309,2019-10-08,2.244,4.33%
红利ETF,510880,,,,2019-10-08,2.244,2026-04-09,3.138,5.29%
红利ETF同花顺,510880,,,,2007-01-18,1.997,2019-10-08,3.424,4.33%
红利ETF同花顺,510880,,,,2019-10-08,3.424,2026-04-09,4.788,5.29%
深红利ETF,159905,,,,2023-08-25,1.906,2026-06-05,2.009,1.91%
深红利ETF,159905,,,,2011-01-11,1,2015-01-30,1.052,1.26%
深红利ETF,159905,,,,2015-02-02,1.026,2026-06-05,2.009,6.10%
深红利ETF,159905,,,,2011-01-11,1,2019-10-08,1.895,7.58%
深红利ETF,159905,,,,2019-10-08,1.895,2026-04-09,2.108,1.65%
恒生科技ETF,159708,,,,2023-08-25,0.747,2026-06-05,0.818,3.32%
恒生科技ETF,159708,,,,2021-07-02,0.976,2026-06-05,0.818,-3.52%
恒生科技ETF,159708,,,,2021-07-02,0.976,2026-04-09,0.865,-2.50%
低波红利ETF,563020,,,,2023-12-14,0.995,2026-04-15,1.305061,12.31%
低波红利ETF,563020,,,,2023-12-14,0.995,2026-04-09,1.297449,12.12%
