industry,code,name
I65软件和信息技术服务业,688111,金山办公
I65软件和信息技术服务业,600588,用友网络
I65软件和信息技术服务业,002230,科大讯飞
C39计算机、通信和其他电子设备制造业,601138,工业富联
C39计算机、通信和其他电子设备制造业,002415,海康威视
C39计算机、通信和其他电子设备制造业,000725,京东方A
C27医药制造业,600276,恒瑞医药
C27医药制造业,603259,药明康德
C27医药制造业,300760,迈瑞医疗
C35专用设备制造业,300750,宁德时代
C35专用设备制造业,600031,三一重工
C35专用设备制造业,688012,中微公司
C26化学原料和化学制品制造业,600309,万华化学
C26化学原料和化学制品制造业,000792,盐湖股份
C26化学原料和化学制品制造业,600486,扬农化工
C38电气机械和器材制造业,601012,隆基绿能
C38电气机械和器材制造业,000333,美的集团
C38电气机械和器材制造业,002129,TCL中环
C36汽车制造业,002594,比亚迪
C36汽车制造业,601633,长城汽车
C36汽车制造业,600104,上汽集团
I64互联网和相关服务,300059,东方财富
I64互联网和相关服务,300124,汇川技术
I64互联网和相关服务,002024,苏宁易购
K70房地产业,000002,万科A
K70房地产业,600048,保利发展
K70房地产业,001979,招商蛇口
J66货币金融服务,601398,工商银行
J66货币金融服务,600036,招商银行
J66货币金融服务,601288,农业银行
J67资本市场服务,600030,中信证券
J67资本市场服务,300059,东方财富
J67资本市场服务,601211,国泰君安
C15酒、饮料和精制茶制造业,600519,贵州茅台
C15酒、饮料和精制茶制造业,000858,五粮液
C15酒、饮料和精制茶制造业,000568,泸州老窖
D44电力、热力生产和供应业,600900,长江电力
D44电力、热力生产和供应业,601985,中国核电
D44电力、热力生产和供应业,600025,华能水电
F51批发业,601888,中国中免
F51批发业,601607,上海医药
F51批发业,600827,百联股份
F52零售业,601933,永辉超市
F52零售业,002024,苏宁易购
F52零售业,601116,三江购物
C13农副食品加工业,600887,伊利股份
C13农副食品加工业,603288,海天味业
C13农副食品加工业,002311,海大集团
N77生态保护和环境治理业,300070,碧水源
N77生态保护和环境治理业,600323,瀚蓝环境
N77生态保护和环境治理业,002672,东江环保
C30非金属矿物制品业,600585,海螺水泥
C30非金属矿物制品业,002271,东方雨虹
C30非金属矿物制品业,000877,天山股份
