date,open,high,low,close,volume,adjust_factor
2007-01-18,2.019,2.023,1.926,1.997,236005974,1.0
2007-01-19,1.996,2.042,1.993,2.04,98642834,1.0
2007-01-22,2.051,2.128,2.051,2.128,56172127,1.0
2007-01-23,2.15,2.175,2.081,2.168,71730955,1.0
2007-01-24,2.17,2.255,2.162,2.239,53902834,1.0
2007-01-25,2.237,2.237,2.14,2.145,79236362,1.0
2007-01-26,2.1,2.195,2.041,2.192,77492472,1.0
2007-01-29,2.204,2.258,2.2,2.258,72045243,1.0
2007-01-30,2.261,2.306,2.247,2.272,68898143,1.0
2007-01-31,2.269,2.269,2.108,2.116,63762455,1.0
2007-02-01,2.1,2.123,2.02,2.094,94433091,1.0
2007-02-02,2.088,2.11,2.001,2.007,103061581,1.0
2007-02-05,1.98,2.0,1.95,1.963,56031617,1.0
2007-02-06,1.966,1.999,1.895,1.998,108148552,1.0
2007-02-07,2.009,2.063,1.997,2.044,58861299,1.0
2007-02-08,2.03,2.075,2.012,2.071,38868748,1.0
2007-02-09,2.071,2.072,2.025,2.04,26079870,1.0
2007-02-12,2.038,2.12,2.031,2.119,37964055,1.0
2007-02-13,2.121,2.159,2.119,2.152,28273944,1.0
2007-02-14,2.152,2.22,2.138,2.208,28426703,1.0
2007-02-15,2.235,2.3,2.225,2.298,51981005,1.0
2007-02-16,2.34,2.359,2.298,2.321,63079149,1.0
2007-02-26,2.314,2.439,2.314,2.435,101395848,1.0
2007-02-27,2.451,2.458,2.2,2.21,97251862,1.0
2007-02-28,2.201,2.33,2.159,2.319,104997575,1.0
2007-03-01,2.319,2.321,2.17,2.259,52368627,1.0
2007-03-02,2.25,2.297,2.23,2.275,52819419,1.0
2007-03-05,2.27,2.309,2.17,2.235,55639692,1.0
2007-03-06,2.211,2.28,2.2,2.255,44739596,1.0
2007-03-07,2.263,2.32,2.263,2.304,57836160,1.0
2007-03-08,2.297,2.322,2.29,2.319,63657508,1.0
2007-03-09,2.322,2.34,2.296,2.318,36039203,1.0
2007-03-12,2.319,2.338,2.286,2.336,35938100,1.0
2007-03-13,2.33,2.355,2.321,2.347,26631477,1.0
2007-03-14,2.308,2.31,2.265,2.288,34105292,1.0
2007-03-15,2.286,2.336,2.28,2.334,29522435,1.0
2007-03-16,2.335,2.349,2.266,2.275,34840903,1.0
2007-03-19,2.23,2.33,2.207,2.318,40631700,1.0
2007-03-20,2.317,2.342,2.304,2.339,21849554,1.0
2007-03-21,2.339,2.372,2.331,2.369,26671483,1.0
2007-03-22,2.371,2.425,2.371,2.388,36653558,1.0
2007-03-23,2.383,2.403,2.342,2.397,26549499,1.0
2007-03-26,2.393,2.453,2.393,2.452,40492515,1.0
2007-03-27,2.451,2.473,2.45,2.469,39120854,1.0
2007-03-28,2.469,2.498,2.388,2.49,54155145,1.0
2007-03-29,2.495,2.518,2.45,2.476,50330675,1.0
2007-03-30,2.467,2.501,2.45,2.477,17344149,1.0
2007-04-02,2.482,2.574,2.482,2.568,37505814,1.0
2007-04-03,2.576,2.62,2.575,2.594,27862623,1.0
2007-04-04,2.599,2.616,2.575,2.595,26550276,1.0
2007-04-05,2.595,2.63,2.577,2.625,30783993,1.0
2007-04-06,2.62,2.65,2.6,2.648,32480436,1.0
2007-04-09,2.651,2.742,2.651,2.728,20960520,1.0
2007-04-10,2.731,2.781,2.7,2.78,33666868,1.0
2007-04-11,2.781,2.818,2.763,2.818,41772312,1.0
2007-04-12,2.819,2.858,2.808,2.857,23838532,1.0
2007-04-13,2.857,2.878,2.826,2.839,23780710,1.0
2007-04-16,2.835,2.908,2.833,2.905,21643363,1.0
2007-04-17,2.908,2.945,2.84,2.945,34264182,1.0
2007-04-18,2.945,2.971,2.908,2.963,23639439,1.0
2007-04-19,2.94,2.95,2.75,2.821,51752721,1.0
2007-04-20,2.829,2.94,2.829,2.931,29545567,1.0
2007-04-23,2.942,3.106,2.942,3.103,23131439,1.0
2007-04-24,3.15,3.203,3.108,3.168,54346868,1.0
2007-04-25,3.162,3.31,3.1,3.16,54467679,1.0
2007-04-26,3.16,3.235,3.16,3.21,42820672,1.0
2007-04-27,3.219,3.23,3.152,3.193,50801883,1.0
2007-04-30,3.19,3.237,3.164,3.235,37822714,1.0
2007-05-08,3.3,3.389,3.3,3.388,36861443,1.0
2007-05-09,3.387,3.43,3.3,3.404,47975937,1.0
2007-05-10,3.403,3.497,3.389,3.467,32139304,1.0
2007-05-11,3.468,3.468,3.395,3.437,117344073,1.0
2007-05-14,3.41,3.49,3.3,3.475,181712932,1.0
2007-05-15,3.479,3.482,3.321,3.329,85962069,1.0
2007-05-16,3.32,3.396,3.23,3.387,102934610,1.0
2007-05-17,3.395,3.478,3.392,3.451,67252135,1.0
2007-05-18,3.441,3.487,3.42,3.461,64575685,1.0
2007-05-21,3.381,3.51,3.358,3.492,63745136,1.0
2007-05-22,3.492,3.568,3.492,3.537,30754046,1.0
2007-05-23,3.54,3.632,3.525,3.628,41608725,1.0
2007-05-24,3.631,3.65,3.535,3.593,79251965,1.0
2007-05-25,3.554,3.61,3.531,3.598,48733119,1.0
2007-05-28,3.61,3.698,3.61,3.683,45055885,1.0
2007-05-29,3.701,3.784,3.695,3.782,39518493,1.0
2007-05-30,3.589,3.75,3.48,3.5,117161584,1.0
2007-05-31,3.453,3.608,3.275,3.542,116596752,1.0
2007-06-01,3.527,3.601,3.358,3.36,71687273,1.0
2007-06-04,3.38,3.42,3.045,3.05,100179445,1.0
2007-06-05,3.026,3.2,2.792,3.19,161223225,1.0
2007-06-06,3.219,3.266,3.1,3.215,110233056,1.0
2007-06-07,3.231,3.335,3.216,3.329,86719337,1.0
2007-06-08,3.34,3.362,3.305,3.351,95391956,1.0
2007-06-11,3.346,3.402,3.346,3.39,68161840,1.0
2007-06-12,3.395,3.543,3.348,3.54,57542340,1.0
2007-06-13,3.57,3.652,3.57,3.636,51224963,1.0
2007-06-14,3.605,3.61,3.518,3.547,54282783,1.0
2007-06-15,3.546,3.569,3.498,3.537,56925729,1.0
2007-06-18,3.565,3.641,3.565,3.621,53408957,1.0
2007-06-19,3.607,3.688,3.6,3.656,38412264,1.0
2007-06-20,3.65,3.728,3.58,3.6,49704361,1.0
2007-06-21,3.581,3.63,3.547,3.617,33316206,1.0
2007-06-22,3.613,3.65,3.41,3.504,43157935,1.0
2007-06-25,3.509,3.536,3.281,3.297,41048278,1.0
2007-06-26,3.236,3.37,3.2,3.363,55361423,1.0
2007-06-27,3.375,3.458,3.339,3.45,39326036,1.0
2007-06-28,3.425,3.46,3.289,3.29,32905586,1.0
2007-06-29,3.204,3.275,3.155,3.171,32369354,1.0
2007-07-02,3.145,3.247,3.12,3.203,45050615,1.0
2007-07-03,3.223,3.279,3.205,3.263,18288702,1.0
2007-07-04,3.264,3.284,3.189,3.202,20705602,1.0
2007-07-05,3.189,3.189,3.0,3.009,97816933,1.0
2007-07-06,3.0,3.15,2.945,3.146,51386518,1.0
2007-07-09,3.156,3.248,3.151,3.239,30682978,1.0
2007-07-10,3.23,3.239,3.152,3.165,19767498,1.0
2007-07-11,3.152,3.193,3.126,3.19,13882928,1.0
2007-07-12,3.192,3.229,3.178,3.21,13752019,1.0
2007-07-13,3.209,3.22,3.17,3.214,13288306,1.0
2007-07-16,3.21,3.212,3.102,3.112,12664175,1.0
2007-07-17,3.091,3.192,3.08,3.167,11990053,1.0
2007-07-18,3.165,3.24,3.135,3.19,14363135,1.0
2007-07-19,3.18,3.199,3.155,3.158,8286358,1.0
2007-07-20,3.159,3.283,3.159,3.282,20244462,1.0
2007-07-23,3.3,3.492,3.3,3.489,27167190,1.0
2007-07-24,3.509,3.585,3.49,3.5,37997620,1.0
2007-07-25,3.478,3.6,3.47,3.599,32919558,1.0
2007-07-26,3.61,3.644,3.582,3.624,34126117,1.0
